GJA5-1697	hemB	delta-aminolevulinic acid dehydratase	
GJA5-2536	SAR2559	short chain dehydrogenase	
GJA5-754	SAR0779	hypothetical protein	
GJA5-1859	SAR1916	enterotoxin	
GJA5-2537	SAR2560	transporter	
GJA5-706	SAR0731	hypothetical protein	
GJA5-1860	SAR1917	enterotoxin	
GJA5-427	SAR0447	hypothetical protein	
GJA5-2538	SAR2561	hypothetical protein	
GJA5-1861	SAR1918	enterotoxin	
GJA5-2539	SAR2562	hypothetical protein	
GJA5-66	kdpE	response regulator protein	
GJA5-1063	SAR1097	methylase	
GJA5-1209	SAR1241	hypothetical protein	
GJA5-1862	SAR1919	enterotoxin	
GJA5-2540	SAR2563	hypothetical protein	
GJA5-1863	SAR1920	enterotoxin	
GJA5-1929	SARr009	23S ribosomal RNA	
GJA5-2541	SAR2565	hypothetical protein	
GJA5-707	SAR0732	acetyltransferase	
GJA5-1864	SAR1921	enterotoxin	
GJA5-2542	SAR2566	hypothetical protein	
GJA5-959	SAR0991	hypothetical protein	
GJA5-1870	SARt022	tRNA-Phe	
GJA5-1873	SAR1922	hypothetical protein	
GJA5-2543	SAR2567	short chain dehydrogenase	Q6GDV6
GJA5-67	SAR0069	sensor kinase	
GJA5-564	sdrC	surface anchored protein	
GJA5-1210	nusA	transcription elongation factor NusA	
GJA5-1874	hemY	protoporphyrinogen oxidase	
GJA5-2095	agrD	autoinducer peptide	
GJA5-2544	SAR2568	hypothetical protein	
GJA5-755	SAR0780	diacylglycerol kinase	Q6GIR5
GJA5-1875	hemH	ferrochelatase	
GJA5-2545	SAR2569	hypothetical protein	
GJA5-708	SAR0733	hypothetical protein	
GJA5-1876	hemE	uroporphyrinogen decarboxylase	
GJA5-428	SAR0448	hypothetical protein	
GJA5-2546	SAR2570	hypothetical protein	Q6GDV3
GJA5-1877	trap	signal transduction protein	
GJA5-2547	SAR2573	lipoprotein	
GJA5-68	SAR0070	potassium-transporting ATPase subunit A	
GJA5-1064	coaD	phosphopantetheine adenylyltransferase	
GJA5-1211	SAR1243	hypothetical protein	
GJA5-1878	SAR1927	transporter protein	
GJA5-2548	SAR2574	helicase	
GJA5-1879	SAR1928	ABC transporter ATP-binding protein	
GJA5-2549	SAR2575	NUDIX hydrolase	
GJA5-516	SARr006	23S ribosomal RNA	
GJA5-709	SAR0734	hypothetical protein	Q6GIW1
GJA5-864	SAR0892	D-isomer specific 2-hydroxyacid dehydrogenase	
GJA5-1880	SAR1929	HIT-family protein	
GJA5-2550	SAR2576	phosphomannomutase	
GJA5-1881	SAR1930	hypothetical protein	
GJA5-2551	SAR2577	hypothetical protein	
GJA5-69	SAR0071	potassium-transporting ATPase subunit B	
GJA5-565	bbp	bone sialoprotein-binding protein	
GJA5-1212	SAR1244	ribosomal protein	
GJA5-2552	SAR2578	hypothetical protein	
GJA5-756	SAR0781	proton-dependent oligopeptide transport protein	
GJA5-1883	SAR1931	hypothetical protein	
GJA5-2553	gtaB	UTP--glucose-1-phosphate uridylyltransferase	
GJA5-710	SAR0735	hypothetical protein	
GJA5-1884	SAR1932	peptidyl-prolyl cis-isomerase	
GJA5-429	SAR0449	hypothetical protein	
GJA5-2554	fnbA	fibronectin-binding protein precursor	
GJA5-1885	SAR1933	3'-5' exoribonuclease YhaM	
GJA5-2555	SAR2581	hypothetical protein	
GJA5-70	SAR0074	hypothetical protein	
GJA5-1886	SAR1934	hypothetical protein	
GJA5-1213	infB	translation initiation factor IF-2	
GJA5-1065	SAR1099	hypothetical protein	Q6GHW0
GJA5-2556	gntP	gluconate permease	
GJA5-1887	SAR1935	DNA repair exonuclease	
GJA5-2557	gntK	gluconokinase	
GJA5-711	uppP	UDP pyrophosphate phosphatase	
GJA5-1888	SAR1936	hypothetical protein	Q6GFL1
GJA5-960	SAR0992	protease	Q6GI62
GJA5-71	SAR0075	hypothetical protein	
GJA5-2558	gntR	gluconate operon transcriptional repressor	
GJA5-1214	rbfA	ribosome-binding factor A	
GJA5-1889	SAR1937	hypothetical protein	Q6GFL0
GJA5-566	SAR0568	glycosyl transferase family protein	
GJA5-1930	SARt051	tRNA-Ala	
GJA5-1890	SAR1938	DNA-binding protein	
GJA5-2559	SAR2585	MerR family transcriptional regulator	
GJA5-757	SAR0782	7-cyano-7-deazaguanine reductase	
GJA5-72	SAR0075a	hypothetical protein	
GJA5-1215	SAR1247	tRNA pseudouridine synthase B	
GJA5-1891	SAR1939	response regulator	
GJA5-2560	SAR2586	hypothetical protein	
GJA5-1892	SAR1940	histidine kinase	
GJA5-430	SAR0450	cobalamin synthesis protein	
GJA5-2561	SAR2587	hypothetical protein	
GJA5-73	SAR0076	hypothetical protein	
GJA5-1216	SAR1248	riboflavin biosynthesis protein	
GJA5-1893	SAR1941	RNA pseudouridylate synthase	
GJA5-2562	SAR2588	hypothetical protein	
GJA5-1066	SAR1100	hypothetical protein	
GJA5-1894	fumC	fumarate hydratase	
GJA5-2563	SAR2589	transporter protein	
GJA5-74	SAR0077	hypothetical protein	
GJA5-1217	rpsO	30S ribosomal protein S15	
GJA5-1895	SAR1943	hypothetical protein	
GJA5-2564	SAR2590	DedA family protein	
GJA5-865	SAR0893	hypothetical protein	
GJA5-1896	SAR1944	hypothetical protein	
GJA5-2565	SAR2591	LysE type translocator	
GJA5-75	SAR0078	hypothetical protein	
GJA5-1218	pnpA	polynucleotide phosphorylase/polyadenylase	
GJA5-1897	SAR1945	hypothetical protein	
GJA5-2566	SAR2592	fatty acid desaturase	
GJA5-567	SAR0569	glycosyl transferase family protein	
GJA5-1898	SAR1946	SpoU rRNA methylase	
GJA5-2567	SAR2593	transcriptional regulator	
GJA5-758	SAR0783	hypothetical protein	
GJA5-76	SAR0079	protein kinase	
GJA5-1219	SAR1251	hypothetical protein	
GJA5-1899	SAR1947	iron-sulfur protein	
GJA5-2568	SAR2594	ABC transporter ATP-binding protein	
GJA5-1931	SARt052	tRNA-Ile	
GJA5-1900	glnQ	glutamine transport ATP-binding protein	
GJA5-431	SAR0451	hypothetical protein	
GJA5-2569	SAR2595	hypothetical protein	
GJA5-77	SAR0080	hypothetical protein	
GJA5-1220	SAR1252	DNA translocase (FtsK/SpoIIIE family protein)	
GJA5-1901	SAR1949	extracellular glutamine-binding protein	
GJA5-2570	SAR2596	hypothetical protein	
GJA5-1902	SAR1950	hypothetical protein	
GJA5-1067	rpmF	50S ribosomal protein L32	
GJA5-2571	SAR2597	hypothetical protein	
GJA5-78	SAR0081	transposase	
GJA5-1221	SAR1253	hypothetical protein	
GJA5-1933	perR	peroxide operon regulator	
GJA5-2572	SAR2598	phospholipase/carboxylesterase	
GJA5-1934	SAR1952	hypothetical protein	
GJA5-2573	SAR2599	dioxygenase	
GJA5-961	SAR0993	sodium transport protein	
GJA5-79	SAR0082	transposase	
GJA5-1871	SARt023	tRNA-Asp	
GJA5-1222	SAR1254	hypothetical protein	
GJA5-1935	SAR1953	AhpC/TSA family protein	
GJA5-2574	SAR2600	MarR family regulatory protein	
GJA5-568	SAR0570	GTP cyclohydrolase	
GJA5-1936	SAR1954	glutamate-1-semialdehyde aminotransferase	
GJA5-2199	pyn	pyrimidine-nucleoside phosphorylase	
GJA5-2575	SAR2601	acetyltransferase (GNAT) family protein	
GJA5-759	nrdI	ribonucleotide reductase stimulatory protein	
GJA5-80	SAR0084	hypothetical protein	
GJA5-1223	SAR1255	protease	
GJA5-1937	SAR1955	hypothetical protein	
GJA5-2576	SAR2602	glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein	
GJA5-1932	SARr010	16S ribosomal RNA	
GJA5-1938	SAR1956	ABC transporter ATP-binding protein	Q6GFJ1
GJA5-432	SAR0452	NADH dehydrogenase subunit 5	
GJA5-2577	ddh	D-lactate dehydrogenase	
GJA5-81	SAR0085	transposase	
GJA5-1224	SAR1256	short chain dehydrogenase	
GJA5-1939	SAR1957	hypothetical protein	Q6GFJ0
GJA5-2578	SAR2607	haloacid dehalogenase-like hydrolase	
GJA5-1068	isdB	iron-regulated heme-iron binding protein	
GJA5-1940	SAR1958	HhH-GPD superfamily base excision DNA repair protein	
GJA5-2579	srtA	sortase	
GJA5-82	SAR0086	hypothetical protein	
GJA5-1225	SAR1257	hypothetical protein	
GJA5-1941	SAR1959	hypothetical protein	
GJA5-2580	SAR2609	acetyltransferase (GNAT) family protein	
GJA5-318	SAR0329	PTS regulator	
GJA5-517	SARr007	5S ribosomal RNA	
GJA5-866	dltA	D-alanine--poly(phosphoribitol) ligase subunit 1	
GJA5-1942	SAR1960	hypothetical protein	
GJA5-2581	SAR2610	L-serine dehydratase subunit alpha	
GJA5-83	SAR0087	restriction enzyme	
GJA5-1226	SAR1258	DNA-binding protein	
GJA5-1943	SAR1961	hypothetical protein	
GJA5-2582	SAR2611	L-serine dehydratase subunit beta	
GJA5-569	SAR0571	hypothetical protein	
GJA5-1944	SAR1962	hypothetical protein	
GJA5-2583	SAR2612	hypothetical protein	
GJA5-760	rir1	ribonucleotide-diphosphate reductase subunit alpha	
GJA5-84	SAR0088	5-methylcytosine-specific restriction enzyme subunit McrC	
GJA5-1227	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	
GJA5-1945	recX	recombination regulator RecX	
GJA5-2584	SAR2613	hypothetical protein	
GJA5-1946	SAR1964	glycosyltransferase	
GJA5-433	SAR0453	hypothetical protein	Q6GJM1
GJA5-2585	SAR2614	hypothetical protein	
GJA5-85	SAR0089	hypothetical protein	
GJA5-1228	SAR1260	hypothetical protein	
GJA5-1947	SAR1965	ThiJ/PfpI family protein	Q6GFI2
GJA5-2586	SAR2615	hypothetical protein	
GJA5-2092	SARs022	GJA5-2092-RNA	
GJA5-1948	SAR1966	hypothetical protein	
GJA5-1069	isdA	iron-regulated heme-iron binding protein	
GJA5-2587	SAR2616	hypothetical protein	
GJA5-86	SAR0090	hypothetical protein	
GJA5-1229	recA	recombinase A	
GJA5-1949	SAR1967	hypothetical protein	
GJA5-2588	SAR2617	hypothetical protein	
GJA5-150	capE	capsular polysaccharide synthesis enzyme	
GJA5-1950	SAR1968	hypothetical protein	
GJA5-2589	glcB	PTS system, glucose-specific IIABC component	
GJA5-962	SAR0994	5'-nucleotidase	
GJA5-87	SAR0091	insertion sequence protein	
GJA5-1230	SAR1262	phosphodiesterase	
GJA5-1951	SAR1969	aminopeptidase	
GJA5-2590	SAR2619	pyruvate oxidase	
GJA5-570	SAR0572	hypothetical protein	
GJA5-1952	SAR1970	hypothetical protein	
GJA5-2591	SAR2620	hypothetical protein	
GJA5-761	nrdF	ribonucleotide-diphosphate reductase subunit beta	
GJA5-88	SAR0092	hydratase	
GJA5-1231	SAR1263	hypothetical protein	
GJA5-1953	SAR1971	low molecular weight phosphotyrosine protein phosphatase	
GJA5-2592	SAR2621	hypothetical protein	
GJA5-2121	SARr011	5S ribosomal RNA	
GJA5-1954	SAR1972	hypothetical protein	
GJA5-434	SAR0454	hypothetical protein	
GJA5-2593	SAR2622	LysR family regulatory protein	
GJA5-89	SAR0093	hypothetical protein	
GJA5-1232	SAR1264	hypothetical protein	
GJA5-2009	SAR2028	hypothetical protein	
GJA5-2594	SAR2623	hypothetical protein	
GJA5-1070	isdC	surface anchored protein	
GJA5-1956	SAR1974	response regulator	
GJA5-2595	SAR2624	hypothetical protein	
GJA5-90	SAR0094	transporter protein	
GJA5-1233	SAR1265	pyruvate flavodoxin/ferredoxin oxidoreductase	
GJA5-1957	vraS	histidine kinase sensor	
GJA5-2596	mvaA	3-hydroxy-3-methylglutaryl-coenzyme A reductase	
GJA5-867	dltB	activated D-alanine transport protein	
GJA5-1958	SAR1976	hypothetical protein	
GJA5-2597	mvaS	3-hydroxy-3-methylglutaryl coenzyme A synthase	
GJA5-91	SAR0097	DNA-binding protein	Q6GKL1
GJA5-1234	SAR1266	2-oxoglutarate ferredoxin oxidoreductase subunit beta	
GJA5-1959	SAR1977	hypothetical protein	
GJA5-2598	SAR2627	6-O-methylguanine DNA methyltransferase	
GJA5-571	SAR0573	glucosamine-6-phosphate isomerase	
GJA5-1960	SAR1978	methionine aminopeptidase	
GJA5-728	fruA	PTS transport system, fructose-specific IIABC component	
GJA5-2599	clpL	ATP-dependent protease ATP-binding subunit ClpL	
GJA5-762	sstA	FecCD transport family protein	
GJA5-92	SAR0098	acetyltransferase (GNAT) family protein	
GJA5-1235	SAR1267	hypothetical protein	
GJA5-1961	SAR1980	hypothetical protein	Q6GFG8
GJA5-2600	SAR2629	hypothetical protein	
GJA5-1962	SAR1981	hypothetical protein	
GJA5-435	SAR0455	hypothetical protein	
GJA5-2601	SAR2630	ferrous iron transport protein B	
GJA5-93	SAR0099	hypothetical protein	
GJA5-1236	SAR1268	(dimethylallyl)adenosine tRNA methylthiotransferase	
GJA5-1963	SAR1982	hypothetical protein	
GJA5-2602	SAR2631	hypothetical protein	
GJA5-2122	SARr012	23S ribosomal RNA	
GJA5-1071	isdD	hypothetical protein	
GJA5-1964	SAR1983	Mur ligase	
GJA5-2603	SAR2632	transport protein	
GJA5-94	SAR0100	hypothetical protein	
GJA5-1237	SAR1269	hypothetical protein	
GJA5-1965	SAR1984	ferritin	
GJA5-2604	SAR2633	TetR family regulatory protein	
GJA5-797	SARt013	tRNA-Arg	
GJA5-1966	SAR1985	exonuclease	
GJA5-2605	SAR2634	1-pyrroline-5-carboxylate dehydrogenase	
GJA5-965	SAR0995	regulatory protein	
GJA5-95	SAR0101	hypothetical protein	
GJA5-1967	SAR1986	DNA polymerase IV	
GJA5-2606	SAR2635	acetyltransferase	Q6GDP3
GJA5-572	SAR0574	hexulose-6-phosphate synthase	Q6GJ99
GJA5-1968	SAR1987	hypothetical protein	
GJA5-2607	SAR2636	hypothetical protein	
GJA5-763	sstB	FecCD transport family protein	
GJA5-96	SAR0102	hypothetical protein	
GJA5-1239	mutS	DNA mismatch repair protein MutS	
GJA5-1969	SAR1988	RNA methyltransferase	Q6GFG0
GJA5-2608	copA	copper importing ATPase A	
GJA5-1970	SAR1989	lipid kinase	
GJA5-436	SAR0456	hypothetical protein	
GJA5-2609	SAR2639	heavy-metal-associated protein	
GJA5-97	SAR0103	hypothetical protein	
GJA5-1240	mutL	DNA mismatch repair protein	
GJA5-1971	gatB	aspartyl/glutamyl-tRNA amidotransferase subunit B	
GJA5-2610	SAR2640	D-lactate dehydrogenase	
GJA5-2123	SARr013	16S ribosomal RNA	
GJA5-1072	isdE	transport system extracellular binding lipoprotein	
GJA5-1972	gatA	aspartyl/glutamyl-tRNA amidotransferase subunit A	
GJA5-2611	SAR2641	aminotransferase	
GJA5-98	SAR0104	hypothetical protein	
GJA5-1241	glpP	glycerol uptake operon antiterminator regulatory protein	
GJA5-1973	gatC	aspartyl/glutamyl-tRNA amidotransferase subunit C	
GJA5-2612	crtN	squalene synthase	
GJA5-868	dltC	D-alanine--poly(phosphoribitol) ligase subunit 2	
GJA5-1974	putP	high affinity proline permease	
GJA5-99	plc	1-phosphatidylinositol phosphodiesterase	
GJA5-1872	SARt024	tRNA-Met	
GJA5-1242	SAR1273a	hypothetical protein	
GJA5-1975	SAR1995	lipoprotein	
GJA5-2614	SAR2645	glycosyl transferase	
GJA5-573	SAR0575	6-phospho 3-hexuloisomerase	
GJA5-1976	lig	DNA ligase	
GJA5-2615	SAR2646	phytoene dehydrogenase related protein	
GJA5-764	sstC	ABC transporter ATP-binding protein	
GJA5-100	SAR0106	lipoprotein	
GJA5-1243	glpF	glycerol uptake facilitator protein	
GJA5-1977	pcrA	ATP-dependent DNA helicase	
GJA5-2616	SAR2647	hypothetical protein	
GJA5-1978	pcrB	geranylgeranylglyceryl phosphate synthase	
GJA5-437	SAR0457	hypothetical protein	
GJA5-2617	ssaA	secretory antigen precursor	
GJA5-101	SAR0107	regulatory protein	Q6GKK1
GJA5-1244	glpK	glycerol kinase	
GJA5-1979	SAR1999	hypothetical protein	
GJA5-2618	SAR2649	hypothetical protein	
GJA5-2124	SARt053	tRNA-Gly	
GJA5-1073	isdF	iron/heme permease	
GJA5-1980	purB	adenylosuccinate lyase	
GJA5-2619	isaA	immunodominant antigen A	
GJA5-2206	SAR2231	mannose-6-phosphate isomerase	
GJA5-102	SAR0108	peptidase	
GJA5-1245	glpD	aerobic glycerol-3-phosphate dehydrogenase	
GJA5-1981	SAR2001	staphopain protease	
GJA5-2620	SAR2651	hypothetical protein	
GJA5-1982	SAR2002	hypothetical protein	
GJA5-2621	SAR2652	TetR family regulatory protein	
GJA5-966	SAR0996	hypothetical protein	
GJA5-103	SAR0109	transporter protein	
GJA5-1246	SAR1277	hydrolase	
GJA5-1983	SAR2003	hypothetical protein	
GJA5-2622	SAR2653	hypothetical protein	
GJA5-574	SAR0576	haloacid dehalogenase-like hydrolase	
GJA5-1984	SAR2004	hypothetical protein	Q6GFE5
GJA5-939	SAR0970	hypothetical protein	
GJA5-765	sstD	lipoprotein	
GJA5-104	SAR0110	Na+/Pi-cotransporter protein	
GJA5-2623	SAR2654	hypothetical protein	Q6GDM7
GJA5-1247	miaA	tRNA delta(2)-isopentenylpyrophosphate transferase	
GJA5-1985	nadE	NAD synthetase	
GJA5-2624	SAR2655	glyoxalase	
GJA5-1986	SAR2006	nicotinate phosphoribosyltransferase	
GJA5-438	SAR0457a	hypothetical protein	
GJA5-105	SAR0111	myosin-cross-reactive antigen	
GJA5-2625	SAR2656	hypothetical protein	
GJA5-1248	SAR1279	hypothetical protein	
GJA5-1987	SAR2007	oxygenase	
GJA5-2125	SARt054	tRNA-Leu	
GJA5-2626	SAR2657	hypothetical protein	
GJA5-1074	srtB	sortase	
GJA5-1988	SAR2008	prephenate dehydratase	
GJA5-106	SAR0112	hypothetical protein	
GJA5-2627	SAR2658	TetR family regulatory protein	Q6GDM3
GJA5-1249	SAR1280	glutathione peroxidase	
GJA5-1989	SAR2009	sodium:sulfate symporter	
GJA5-869	dltD	lipoteichoic acid biosynthesis protein	
GJA5-2628	SAR2659	short chain dehydrogenase	
GJA5-1990	SAR2010	hypothetical protein	
GJA5-1238	SAR1270	hypothetical protein	
GJA5-2629	SAR2660	hypothetical protein	
GJA5-1250	SAR1281	hypothetical protein	
GJA5-1991	SAR2011	isochorismatase	
GJA5-575	proP	proline/betaine transporter	
GJA5-2630	SAR2661	hydrolase	Q6GDM0
GJA5-1992	ppaC	manganese-dependent inorganic pyrophosphatase	
GJA5-766	SAR0791	hypothetical protein	
GJA5-108	spa	immunoglobulin G binding protein A precursor	
GJA5-2631	SAR2662	cobalamin synthesis protein/P47K family protein	
GJA5-1251	SAR1282	hypothetical protein	
GJA5-1993	SAR2013	aldehyde dehydrogenase	
GJA5-2632	SAR2663	hypothetical protein	
GJA5-1994	SAR2014	hypothetical protein	Q6GFD5
GJA5-439	SAR0458	sodium:neurotransmitter symporter family protein	
GJA5-109	SAR0115	regulatory protein	
GJA5-2633	SAR2664	hypothetical protein	
GJA5-1252	glnR	glutamine synthetase	
GJA5-1995	SAR2015	hypothetical protein	
GJA5-1996	SAR2016	hypothetical protein	
GJA5-2634	SAR2665	hypothetical protein	
GJA5-1075	SAR1109	heme-degrading monooxygenase IsdG	
GJA5-110	sirC	siderophore ABC transporter permease	
GJA5-2635	SAR2666	hypothetical protein	
GJA5-1253	glnA	glutamine synthetase	
GJA5-1997	SAR2017	hypothetical protein	
GJA5-2157	SARs023	GJA5-2157-RNA	
GJA5-2636	SAR2667	hypothetical protein	
GJA5-1998	SAR2018	hypothetical protein	
GJA5-967	SAR0997	lipoate-protein ligase A	
GJA5-111	sirB	siderophore ABC transporter permease	
GJA5-2637	SAR2668	hypothetical protein	
GJA5-1254	SAR1285	hypothetical protein	
GJA5-1999	SAR2019	hypothetical protein	
GJA5-576	SAR0578	hypothetical protein	
GJA5-2638	SAR2669	dihydroorotate dehydrogenase 2	
GJA5-2000	SAR2020	hypothetical protein	
GJA5-767	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	
GJA5-112	sirA	lipoprotein	
GJA5-2639	SAR2670	hypothetical protein	
GJA5-1255	SAR1288	lipoprotein	
GJA5-2001	SAR2021	hypothetical protein	
GJA5-2640	SAR2671	hypothetical protein	
GJA5-2002	SAR2022	hypothetical protein	
GJA5-440	SAR0459	pyridoxal-phosphate dependent protein	
GJA5-2110	SAR2139	hypothetical protein	
GJA5-113	SAR0119	pyridoxal-phosphate dependent protein	
GJA5-2641	SAR2672	hypothetical protein	
GJA5-1256	SAR1289	hypothetical protein	
GJA5-2003	SAR2023	ABC transporter ATP-binding protein	
GJA5-2004	SAR2024	hypothetical protein	
GJA5-2642	SAR2673	DNA-binding protein	
GJA5-1076	SAR1109a	hypothetical protein	
GJA5-114	SAR0120	ornithine cyclodeaminase	
GJA5-2643	SAR2674	hypothetical protein	
GJA5-1257	SAR1290	hypothetical protein	
GJA5-2005	SAR2025	ABC transporter ATP-binding protein	
GJA5-2215	SARs024	GJA5-2215-RNA	
GJA5-870	SAR0898	hypothetical protein	
GJA5-2644	panD	aspartate alpha-decarboxylase	
GJA5-2006	SAR2026	GntR family transcriptional regulator	
GJA5-115	SAR0121	siderophore biosynthesis protein	
GJA5-2645	panC	pantoate--beta-alanine ligase	
GJA5-1258	SAR1291	hypothetical protein	
GJA5-2007	SAR2027	hypothetical protein	
GJA5-577	SAR0580	AMP-binding protein	
GJA5-2646	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	
GJA5-2008	SAR2027a	hypothetical protein	
GJA5-1043	SAR1077	hypothetical protein	
GJA5-768	SAR0793	hypothetical protein	
GJA5-116	SAR0122	transport protein	
GJA5-2647	SAR2678	2-dehydropantoate 2-reductase	
GJA5-1259	SAR1292	FtsK/SpoIIIE family protein	
GJA5-2066	SAR2093	hypothetical protein	
GJA5-2648	SAR2679	alpha-acetolactate decarboxylase	
GJA5-2010	SAR2029	transposase	
GJA5-441	SAR0460	Cys/Met metabolism PLP-dependent enzyme	
GJA5-117	SAR0123	siderophore biosynthesis protein	
GJA5-2649	ldh2	L-lactate dehydrogenase 2	
GJA5-1260	SAR1293	hypothetical protein	
GJA5-2011	SAR2030	MHC class II analog	
GJA5-2012	SAR2032	hypothetical protein	
GJA5-2650	SAR2681	amino acid permease	
GJA5-1077	SAR1110	SpoU rRNA methylase	
GJA5-118	SAR0124	siderophore biosynthesis protein	
GJA5-2651	SAR2682	4-aminobutyrate aminotransferase	
GJA5-1261	SAR1294	hypothetical protein	
GJA5-2013	SAR2033	hypothetical protein	
GJA5-813	tmRNA	tmRNA	
GJA5-2652	SAR2683	hypothetical protein	
GJA5-2014	SAR2034	hypothetical protein	
GJA5-968	SAR0998	hypothetical protein	
GJA5-119	SAR0125	aldolase	
GJA5-2653	fda	fructose-1,6-bisphosphate aldolase	
GJA5-1262	SAR1295	hypothetical protein	
GJA5-1903	SARt025	tRNA-Leu	
GJA5-578	SAR0581	ketoacyl-CoA thiolase	
GJA5-2227	SARt055	tRNA-Lys	
GJA5-2654	mqo2	malate:quinone oxidoreductase	
GJA5-2016	chp	chemotaxis-inhibiting protein CHIPS	
GJA5-769	SAR0794	hypothetical protein	
GJA5-120	SAR0126	pyridoxal-dependent decarboxylase	
GJA5-2655	SAR2686	hypothetical protein	
GJA5-1263	SAR1296	hypothetical protein	
GJA5-2017	sak	staphylokinase precursor	
GJA5-2656	SAR2687	AMP-binding protein	
GJA5-2018	SAR2040	autolysin	
GJA5-442	SAR0461	ABC transporter ATP-binding protein	
GJA5-121	SAR0127	hypothetical protein	
GJA5-2657	SAR2688	hypothetical protein	
GJA5-1264	SAR1297	hypothetical protein	
GJA5-2019	SAR2041	holin	
GJA5-2020	SAR2042	hypothetical protein	
GJA5-2658	SAR2689	hypothetical protein	
GJA5-1079	pheS	phenylalanyl-tRNA synthetase subunit alpha	
GJA5-122	SAR0128	hypothetical protein	
GJA5-2659	cudB	choline dehydrogenase	
GJA5-1265	SAR1298	hypothetical protein	
GJA5-2021	SAR2043	enterotoxin type A precursor	
GJA5-871	SAR0899	hypothetical protein	
GJA5-2660	cudA	betaine aldehyde dehydrogenase	
GJA5-2022	SAR2044	hypothetical protein	
GJA5-123	SAR0129	acetoin reductase	
GJA5-2661	SAR2692	hypothetical protein	
GJA5-1266	SAR1299	hypothetical protein	
GJA5-2023	SAR2045	hypothetical protein	
GJA5-579	SAR0582	hypothetical protein	
GJA5-2662	cudT	choline transporter	
GJA5-2024	SAR2046	hypothetical protein	
GJA5-770	SAR0795	hypothetical protein	
GJA5-124	SAR0130a	hypothetical protein	
GJA5-2663	nrdG	anaerobic ribonucleotide reductase activating protein	
GJA5-1267	SAR1300	hypothetical protein	
GJA5-2025	SAR2047	hypothetical protein	
GJA5-2228	SARt056	tRNA-Gln	
GJA5-2664	nrdD	anaerobic ribonucleoside triphosphate reductase	
GJA5-2026	SAR2048	hypothetical protein	
GJA5-443	SAR0462	transport system membrane protein	
GJA5-125	SAR0130	NAD dependent epimerase/dehydratase	
GJA5-2665	SAR2696	transporter protein	
GJA5-1268	SAR1302	hypothetical protein	
GJA5-2027	SAR2049	hypothetical protein	
GJA5-2028	SAR2050	hypothetical protein	
GJA5-2666	SAR2697	precorrin-2 dehydrogenase	
GJA5-1080	pheT	phenylalanyl-tRNA synthetase subunit beta	
GJA5-126	SAR0131	sugar transferase	
GJA5-2667	cysJ	sulfite reductase [NADPH] flavoprotein alpha-component	
GJA5-1269	SAR1303	hypothetical protein	
GJA5-2029	SAR2051	hypothetical protein	
GJA5-2668	SAR2699	glutathione peroxidase	
GJA5-2030	SAR2052	hypothetical protein	
GJA5-969	SAR0999	hypothetical protein	
GJA5-127	SAR0132	galactosyl transferase	
GJA5-2669	SAR2700	hypothetical protein	
GJA5-1270	SAR1304	DNA-binding protein	
GJA5-580	SAR0583	hypothetical protein	
GJA5-2670	SAR2701	ABC transporter ATP-binding protein	
GJA5-2032	SAR2054	hypothetical protein	
GJA5-771	SAR0796	glycerate kinase	
GJA5-128	SAR0133	hypothetical protein	
GJA5-2671	SAR2702	sensor kinase	
GJA5-1271	SAR1305	transposase	
GJA5-2033	SAR2055	hypothetical protein	
GJA5-2229	SARt057	tRNA-Tyr	
GJA5-2672	SAR2703	response regulator protein	
GJA5-2034	SAR2058	hypothetical protein	
GJA5-444	SAR0463	lipoprotein	
GJA5-129	SAR0134	polysaccharide biosynthesis protein	
GJA5-2673	SAR2704	hypothetical protein	
GJA5-1272	SAR1306	hypothetical protein	
GJA5-2035	SAR2059	hypothetical protein	
GJA5-2036	SAR2060	hypothetical protein	
GJA5-1081	SAR1113	ribonuclease HIII	
GJA5-2675	SAR2705	transposase	
GJA5-130	sodM	superoxide dismutase	
GJA5-1127	SAR1160	cell division protein	
GJA5-1273	SAR1311	hypothetical protein	
GJA5-2037	SAR2061	hypothetical protein	
GJA5-842	SARs007	GJA5-842-RNA	
GJA5-872	SAR0900	pyridine nucleotide-disulfide oxidoreductase	
GJA5-2676	SAR2706a	hypothetical protein	
GJA5-2038	SAR2062	Clp protease	
GJA5-131	sasD	surface anchored protein	
GJA5-2677	SAR2707	regulatory protein	
GJA5-1274	SAR1312	hypothetical protein	
GJA5-2039	SAR2063	hypothetical protein	
GJA5-581	SAR0584	hypothetical protein	
GJA5-2678	SAR2708	esterase	
GJA5-2040	SAR2064	hypothetical protein	
GJA5-772	pepT	peptidase T	
GJA5-132	SAR0137	GntR family transcriptional regulator	
GJA5-1275	SAR1313	hypothetical protein	
GJA5-2041	SAR2065	hypothetical protein	
GJA5-2679	clfB	fibrinogen and keratin-10 binding surface anchored protein	
GJA5-2042	SAR2065a	hypothetical protein	
GJA5-445	SAR0464	hypothetical protein	
GJA5-2680	SAR2710	regulatory protein	
GJA5-133	deoD1	purine nucleoside phosphorylase	
GJA5-1276	SAR1314	hypothetical protein	
GJA5-2043	SAR2066	hypothetical protein	
